Online boarding,Inflight wifi service,Class,Type of Travel,Inflight entertainment,Flight Distance,Seat comfort,Leg room service,On-board service,Cleanliness,Ease of Online booking,Age,satisfaction
5,3,0,0,2,2660.0,5,2,2,4,3,41,1
4,5,0,0,4,491.0,4,2,2,4,5,19,1
4,3,0,0,3,2076.0,4,5,4,4,3,29,1
5,4,0,0,4,2310.0,4,4,4,5,4,52,1
5,1,0,0,5,685.0,5,5,5,5,1,54,1
4,5,0,0,5,760.0,4,5,5,5,5,46,1
5,3,1,1,5,528.0,2,3,5,2,3,56,0
2,2,1,0,5,109.0,5,1,4,5,2,50,0
3,3,2,0,3,753.0,3,3,3,3,4,57,0
5,2,0,0,4,590.0,5,4,4,4,2,44,1
5,3,0,0,4,2227.0,5,4,4,4,3,41,1
4,4,0,0,3,488.0,3,2,4,3,4,28,0
4,3,0,0,5,2079.0,5,4,5,4,3,57,1
4,5,0,0,4,3702.0,4,5,4,4,5,44,1
4,4,1,0,4,227.0,1,4,2,4,4,20,0
4,2,0,0,4,3369.0,3,5,3,4,2,24,1
1,1,1,1,2,447.0,1,5,4,2,1,58,0
2,2,0,0,1,508.0,2,3,3,2,2,33,0
5,4,0,0,5,3072.0,1,5,5,2,5,49,1
1,1,2,1,1,147.0,1,2,5,1,1,52,0
0,4,1,1,2,236.0,2,1,1,2,0,43,0
5,5,0,0,3,1211.0,4,3,4,3,5,49,1
3,3,1,1,1,666.0,4,2,4,1,3,31,0
5,5,1,0,5,310.0,5,3,5,5,5,45,1
4,1,0,0,4,1586.0,4,4,4,3,1,55,1
0,1,1,1,1,102.0,1,3,2,1,0,47,0
3,3,0,0,2,628.0,2,3,3,2,3,37,0
4,2,0,0,4,2475.0,4,2,3,4,2,23,1
3,5,0,1,4,1754.0,1,5,4,3,5,60,1
2,2,1,1,4,430.0,4,2,5,4,2,58,0
3,3,0,0,3,2260.0,3,3,3,2,1,61,0
3,3,0,0,5,1428.0,2,5,5,2,3,37,1
4,2,0,0,4,2193.0,5,5,4,3,2,38,1
1,1,1,1,1,2402.0,1,4,5,1,1,8,0
3,3,1,0,3,370.0,3,4,4,3,3,42,0
2,2,1,0,1,1491.0,3,2,2,1,2,29,0
1,1,1,1,5,1846.0,2,1,5,3,1,58,0
4,3,0,0,3,3532.0,4,3,3,1,3,44,0
4,4,0,0,4,616.0,4,3,3,4,4,26,1
4,4,1,1,4,419.0,3,2,1,4,4,41,0
5,4,1,1,3,332.0,4,4,3,4,4,44,0
5,3,0,0,5,280.0,5,3,4,5,3,30,1
4,2,0,0,2,2940.0,3,2,2,1,4,57,0
1,1,1,0,2,341.0,2,2,4,2,1,26,0
4,4,0,0,3,1590.0,4,3,3,3,4,52,1
2,2,0,0,4,1491.0,4,4,5,4,2,27,0
3,5,2,0,5,403.0,2,5,5,3,3,51,1
2,2,0,0,2,584.0,2,5,2,2,4,31,0
3,3,1,1,4,533.0,4,4,5,4,3,29,0
3,3,1,1,1,1073.0,1,2,3,1,3,23,0
3,3,2,0,3,802.0,2,3,2,3,2,16,0
2,2,1,0,2,669.0,2,3,2,2,3,56,0
4,3,0,0,3,3726.5,3,4,3,2,2,49,0
3,3,1,1,2,1065.0,2,5,2,2,3,14,0
4,0,0,0,5,3149.0,5,5,5,3,0,34,1
3,2,0,0,2,2129.0,4,2,2,2,3,54,0
3,3,0,0,3,685.0,3,5,2,3,3,17,0
4,1,0,0,4,67.0,5,4,4,5,1,51,1
1,5,1,0,5,190.0,5,5,5,3,1,52,1
1,2,1,1,3,405.0,1,4,2,1,4,45,0
5,5,1,0,5,216.0,5,2,3,5,4,44,1
2,2,1,1,5,429.0,5,2,2,5,2,15,0
2,4,2,1,5,332.0,5,2,4,5,2,10,0
2,2,1,1,5,290.0,5,2,4,5,2,17,0
4,4,0,0,3,1635.0,3,3,3,3,4,35,0
4,0,0,0,3,3166.0,4,3,3,3,0,43,1
5,5,0,0,4,1990.0,4,4,4,3,5,43,1
2,2,0,0,4,646.0,4,5,5,4,2,28,0
4,2,0,0,4,491.0,4,3,4,4,2,33,1
4,2,1,1,2,1200.0,4,1,2,4,1,47,0
1,0,0,0,3,236.0,4,3,3,4,0,46,1
1,1,1,0,3,803.0,3,3,4,3,1,28,0
5,4,0,0,5,2808.0,5,5,5,5,4,41,1
4,4,1,0,3,507.0,3,4,4,3,4,16,0
5,5,2,0,5,873.0,4,3,2,5,5,24,1
2,2,0,0,2,2346.0,2,3,1,2,4,26,0
5,4,0,0,5,3372.0,5,5,5,3,4,44,1
3,3,0,0,3,3159.0,4,3,3,1,4,36,0
1,2,1,0,1,1235.0,1,5,1,1,1,21,0
3,2,0,0,2,1703.0,3,2,2,2,2,34,0
4,4,1,0,1,1361.0,1,3,4,1,4,21,1
4,4,1,1,2,308.0,2,2,4,2,4,20,0
1,1,0,0,1,2402.0,1,3,4,1,5,27,0
4,4,0,0,5,3265.0,5,5,5,5,2,49,1
4,4,0,0,4,1024.0,4,5,5,4,4,20,1
4,1,0,0,5,1700.0,5,5,5,5,1,54,1
4,4,1,0,4,1017.0,4,4,3,4,3,39,0
4,4,1,1,1,641.0,5,4,1,3,4,49,0
2,2,0,0,4,1616.0,4,4,4,4,2,39,0
4,3,0,0,4,2556.0,4,4,2,4,3,36,1
0,0,2,1,4,447.0,4,3,4,4,0,52,1
3,3,1,1,2,731.0,2,4,1,2,3,66,0
4,4,1,1,3,624.0,3,4,4,3,4,60,0
5,1,0,0,5,3399.0,4,5,5,5,1,58,1
4,1,0,1,1,919.0,4,2,1,4,2,52,0
3,2,1,1,5,874.0,5,5,5,5,3,58,0
4,5,0,0,5,2415.0,5,2,4,5,1,29,0
3,1,1,1,3,190.0,4,0,3,4,0,50,0
4,4,1,1,2,1024.0,2,4,5,2,4,10,0
5,4,0,0,5,590.0,5,5,3,5,4,20,1
3,3,1,1,3,404.0,3,3,5,3,3,35,0
2,1,1,1,5,1416.0,5,4,2,5,2,55,0
1,1,1,0,2,372.0,2,5,1,2,1,39,0
4,4,1,0,1,192.0,4,4,5,1,4,21,1
2,2,1,1,5,728.0,5,2,3,5,2,54,0
5,3,0,0,5,3716.0,4,5,5,3,3,53,1
5,4,0,0,4,2372.0,4,4,4,3,3,46,1
1,1,1,0,5,1262.0,5,5,3,5,1,29,0
2,2,1,1,4,1034.0,4,3,1,4,2,29,0
2,2,1,0,2,202.0,2,5,3,2,2,45,0
5,5,0,0,5,3306.0,5,3,5,5,5,28,1
2,1,1,1,4,440.0,1,1,4,2,1,53,0
3,3,1,0,1,590.0,2,3,2,1,3,20,0
5,4,0,0,4,3354.0,4,4,4,4,4,48,1
3,2,1,1,3,2586.0,3,5,2,3,1,35,0
4,4,1,0,4,1587.0,4,5,3,4,2,60,0
1,2,0,0,1,641.0,1,5,4,1,1,28,0
2,2,1,0,3,479.0,3,4,1,3,2,21,0
3,3,1,0,3,546.0,3,3,3,3,3,46,1
1,2,1,0,3,762.0,3,2,1,3,1,27,0
4,5,0,0,4,2751.0,4,4,4,4,1,60,1
3,3,1,1,3,271.0,2,4,1,3,3,24,0
4,5,0,0,4,2246.0,5,4,4,4,5,50,1
4,4,1,1,5,1037.0,4,3,1,5,4,53,1
5,3,0,0,4,2244.0,5,4,4,4,1,41,1
2,5,0,0,4,3110.0,2,4,4,5,4,41,1
3,3,1,1,3,1096.0,3,1,4,3,3,31,0
3,3,1,0,1,589.0,1,3,1,1,3,25,0
4,4,0,0,4,1856.0,5,4,4,5,4,54,1
3,3,1,1,3,590.0,3,2,3,3,3,17,0
1,1,1,0,5,874.0,5,5,4,5,1,20,0
1,2,1,1,4,479.0,1,3,3,4,1,11,0
1,1,2,0,5,1399.0,5,5,5,5,1,23,0
4,3,0,0,4,2050.0,5,4,4,5,3,57,1
4,5,0,0,4,2998.0,5,4,4,4,5,44,1
2,2,1,1,4,2153.0,2,4,5,2,2,30,0
4,3,0,0,4,2251.0,4,2,4,4,3,27,1
4,2,0,0,4,2875.0,4,4,4,4,2,28,1
4,4,1,1,1,1009.0,1,3,4,1,4,33,0
5,5,1,0,5,545.0,4,5,1,5,5,16,1
1,1,1,0,2,1797.0,3,2,2,2,1,44,0
